host_response_time,host_response_rate,host_acceptance_rate,host_total_listings_count,host_identity_verified,accommodates,bathrooms,bedrooms,beds,amenities,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,calculated_host_listings_count,reviews_per_month,distance_to_dam,has_metro
2,80,100,1.0,1,16,2.0,10.0,16.0,11,125.0,16,30.0,1,30,0,0,0,142,18,97.0,9.0,9.0,9.0,10.0,9.0,10.0,0,1,1,0.88,2.36612203553,0
3,100,50,1.0,0,2,1.0,1.0,1.0,8,50.0,1,0.0,4,30,0,1,17,292,5,100.0,10.0,10.0,10.0,10.0,10.0,9.0,0,2,1,0.35,3.06213918647,0
3,90,95,1.0,0,2,1.5,1.0,1.0,11,0,1,0.0,2,30,2,2,10,282,23,89.0,9.0,9.0,10.0,10.0,9.0,8.0,0,1,1,1.62,1.22870122476,1
1,100,100,2.0,1,2,1.0,1.0,1.0,8,15.0,1,0.0,1,30,1,1,1,1,1,100.0,10.0,10.0,10.0,10.0,10.0,8.0,0,0,2,0.11,2.26312418467,0
2,100,100,1.0,1,2,1.0,1.0,1.0,14,25.0,1,0.0,2,30,24,53,53,53,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,1,1.0,2.80915140066,0
2,60,0,2.0,1,4,1.0,2.0,4.0,9,50.0,1,0.0,4,14,1,18,18,158,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,1.0,2.94242844221,0
4,0,0,1.0,0,2,1.0,0.0,1.0,10,0,2,0.0,3,30,7,11,11,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,4.19345560227,1
2,100,50,1.0,1,2,1.0,1.0,1.0,12,25.0,2,25.0,5,30,8,8,8,8,5,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,1,0.38,1.55389742258,0
1,90,67,2.0,1,4,1.0,3.0,3.0,17,60.0,1,0.0,4,30,0,0,0,0,1,20.0,2.0,2.0,2.0,2.0,0.0,2.0,0,2,1,0.5,2.85970984357,0
4,0,0,1.0,1,3,1.0,2.0,2.0,8,50.0,1,25.0,3,9,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0.0,2.16458619527,1
3,60,92,1.0,1,2,1.0,1.0,1.0,11,50.0,1,15.0,3,30,29,47,77,352,5,76.0,9.0,6.0,10.0,10.0,10.0,8.0,0,2,1,0.35,3.5975962275,0
3,100,83,4.0,1,3,1.0,1.0,2.0,19,50.0,1,25.0,3,30,13,36,66,341,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,2,1.0,1.44948444656,0
2,90,60,1.0,1,3,1.0,0.0,2.0,10,35.0,2,35.0,5,30,4,34,64,339,7,97.0,9.0,10.0,10.0,10.0,9.0,9.0,0,1,1,0.32,3.00151606868,0
1,99,100,166.0,1,4,1.0,2.0,2.0,15,49.0,1,0.0,2,30,0,16,18,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,156,0.0,2.86815181615,0
1,100,80,1.0,1,4,1.0,2.0,3.0,18,50.0,1,39.0,2,5,13,13,24,203,12,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,1,0.55,2.41981747837,0
3,50,0,2.0,0,2,1.5,1.0,1.0,9,0,1,0.0,1,30,0,0,0,0,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,1,0.26,1.29463615107,0
2,100,83,1.0,0,2,1.0,1.0,1.0,10,0,1,0.0,2,30,0,4,5,5,1,80.0,10.0,10.0,10.0,10.0,8.0,8.0,0,1,1,1.0,3.7547058931,0
4,0,0,1.0,0,4,1.5,2.0,2.0,10,0,1,0.0,3,30,0,0,0,0,8,93.0,10.0,9.0,10.0,9.0,10.0,9.0,0,2,1,0.39,3.73844615675,0
4,0,0,1.0,1,5,1.0,4.0,4.0,9,0,1,0.0,3,30,4,27,27,266,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,6.77187067074,0
4,0,0,1.0,0,2,1.0,3.0,3.0,15,0,1,0.0,1,30,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,3.16673337188,0
2,100,100,1.0,1,2,1.0,0.0,2.0,12,45.0,1,0.0,7,30,0,6,13,219,8,95.0,10.0,8.0,10.0,10.0,8.0,9.0,0,2,1,0.24,3.36036040281,0
2,100,59,1.0,0,3,1.0,1.0,1.0,11,0,1,0.0,1,30,9,32,62,337,11,91.0,10.0,9.0,9.0,10.0,9.0,9.0,0,0,1,1.17,2.76016843784,0
2,100,0,1.0,1,3,1.0,1.0,2.0,20,25.0,2,25.0,2,30,0,0,0,183,8,95.0,10.0,9.0,10.0,10.0,9.0,9.0,0,1,1,0.52,2.83156645926,0
2,100,100,1.0,1,4,1.5,2.0,2.0,21,60.0,1,0.0,5,15,0,13,43,43,3,93.0,9.0,9.0,10.0,10.0,9.0,9.0,0,1,1,0.26,2.15192604977,0
3,100,33,1.0,1,4,1.0,2.0,2.0,20,50.0,1,0.0,2,30,6,12,12,160,13,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,2,1,1.05,1.9184840759,0
1,100,100,2.0,0,2,0.5,1.0,1.0,17,20.0,1,15.0,3,30,4,8,8,191,12,93.0,9.0,9.0,10.0,10.0,9.0,9.0,0,1,2,0.49,2.86503194088,0
1,99,98,103.0,1,3,1.0,1.0,2.0,15,35.0,1,16.0,2,30,10,10,10,10,1,100.0,8.0,10.0,10.0,10.0,10.0,10.0,0,1,98,1.0,1.74428421732,0
3,83,100,1.0,0,3,1.0,1.0,1.0,17,50.0,1,0.0,2,10,4,8,9,161,18,94.0,10.0,9.0,10.0,10.0,10.0,9.0,0,0,1,0.66,2.19440933274,0
4,0,0,1.0,1,3,1.0,2.0,3.0,10,0,1,0.0,7,30,0,0,0,251,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0.0,2.69521490443,0
3,100,100,1.0,0,2,1.0,1.0,1.0,9,30.0,1,0.0,2,30,16,38,48,323,43,93.0,9.0,9.0,9.0,10.0,10.0,9.0,0,1,1,2.99,0.604838623639,0
3,50,0,1.0,1,2,1.0,1.0,1.0,14,35.0,1,0.0,2,30,2,32,62,62,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0.0,2.39671291432,1
2,100,100,1.0,1,2,1.0,1.0,1.0,14,0,1,0.0,1,30,0,0,0,0,1,100.0,10.0,8.0,10.0,8.0,10.0,10.0,0,1,1,0.52,2.54503151221,0
2,100,31,1.0,1,2,1.0,1.0,1.0,9,0,2,30.0,4,30,0,8,13,288,20,97.0,10.0,10.0,10.0,10.0,10.0,9.0,0,2,1,0.75,1.22886348155,0
3,80,84,1.0,1,1,1.0,1.0,1.0,11,10.0,2,0.0,1,30,30,60,90,365,20,93.0,9.0,9.0,9.0,9.0,9.0,9.0,0,1,1,0.62,2.83936419967,1
4,0,0,1.0,1,2,1.0,1.0,1.0,13,0,1,0.0,4,30,0,0,0,0,2,100.0,10.0,7.0,10.0,10.0,9.0,9.0,0,1,1,0.25,2.04424996169,0
3,67,100,1.0,0,2,1.0,2.0,1.0,14,0,1,0.0,1,30,0,11,41,131,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,2.75611624279,0
3,100,100,1.0,1,3,1.0,2.0,2.0,17,25.0,1,0.0,25,30,6,9,39,314,7,93.0,9.0,9.0,10.0,10.0,9.0,9.0,0,1,1,0.34,2.80011486732,0
