,bathrooms,bedrooms,beds,accommodates,guests_included,distance_to_dam,distance_to_metro,review_scores_accuracy,review_scores_location,review_scores_value
5366,1.0,1.0,2.0,3,2,2.61521787678,1.32228910458,9.0,9.0,9.0
5752,1.0,1.0,1.0,2,0,2.56357750937,0.86011012953,0.0,0.0,0.0
8749,1.0,2.0,2.0,4,2,3.43563682681,0.933213698476,10.0,8.0,8.0
9590,1.0,1.0,1.0,2,1,3.55341795221,1.05284309118,0.0,0.0,0.0
11606,1.5,2.0,3.0,3,1,1.42170569721,1.91302210356,6.0,10.0,8.0
7048,1.0,1.0,1.0,4,1,1.60045567021,2.11994605416,8.0,9.0,8.0
8011,1.0,1.0,1.0,2,1,2.44038813868,1.51867964571,9.0,10.0,9.0
6419,1.5,2.0,1.0,2,2,1.44184007649,1.7010069466,10.0,10.0,10.0
9074,1.0,1.0,1.0,2,1,2.26630822636,1.71823713155,10.0,8.0,7.0
9315,1.0,1.0,2.0,2,1,1.59614487649,1.48086991803,9.0,10.0,9.0
12811,1.0,1.0,1.0,2,1,2.6505566925,1.18127011591,9.0,9.0,9.0
4588,1.0,1.0,1.0,2,1,1.41375340395,0.959178232996,9.0,10.0,9.0
3306,1.0,1.0,1.0,3,1,3.26933522766,2.07528273753,9.0,9.0,8.0
4766,1.0,1.0,1.0,2,1,1.25155916682,1.17967338092,10.0,10.0,10.0
6613,1.0,1.0,1.0,2,0,1.92401661955,1.9537860806,10.0,9.0,9.0
5509,1.0,1.0,1.0,2,2,2.37777464913,0.0548651566938,8.0,8.0,7.0
8352,1.5,1.0,1.0,2,1,2.9911587427,1.07638653926,9.0,9.0,8.0
11481,1.0,1.0,1.0,2,1,2.38766434414,1.53140811806,10.0,10.0,10.0
11335,1.0,1.0,1.0,2,1,2.46198371584,2.01705752901,0.0,0.0,0.0
8375,1.0,2.0,2.0,4,1,2.50451846197,0.442287790669,0.0,0.0,0.0
297,1.0,2.0,3.0,4,1,4.37857640191,3.57744658233,0.0,0.0,0.0
11240,1.0,1.0,1.0,2,1,2.26119424396,1.96959388769,10.0,10.0,10.0
7855,1.0,1.0,1.0,2,1,3.24510288125,0.450857247872,10.0,10.0,9.0
11937,1.0,1.0,1.0,2,1,3.1264379542,1.23149854553,10.0,9.0,9.0
3523,1.0,1.0,2.0,2,1,3.39582511888,2.4734333104,10.0,9.0,9.0
10439,1.0,1.0,1.0,2,1,3.00408589095,1.28392172186,10.0,9.0,9.0
12446,1.0,1.0,1.0,2,1,2.70501955376,1.83629572939,9.0,10.0,9.0
11318,1.0,1.0,1.0,3,2,3.15752093692,1.4066984027,9.0,9.0,8.0
3478,1.0,2.0,1.0,2,2,3.51253069978,2.02728697644,10.0,8.0,10.0
1524,1.0,1.0,1.0,3,1,1.09000862812,1.3978970244,10.0,10.0,9.0
5641,1.0,1.0,1.0,2,1,2.07386372781,0.379717949459,0.0,0.0,0.0
12952,1.0,1.0,1.0,2,1,3.11120079592,0.987733342397,10.0,8.0,9.0
10972,1.0,1.0,1.0,2,1,2.84208043775,1.08719156625,10.0,9.0,10.0
6632,1.0,1.0,1.0,2,0,2.06787646992,1.74543836389,9.0,9.0,9.0
12037,1.0,1.0,1.0,2,1,1.51860784854,2.02432195061,0.0,0.0,0.0
5904,1.0,1.0,1.0,2,1,3.50036261619,0.696164600787,10.0,10.0,9.0
12331,1.0,2.0,4.0,4,1,2.29757216511,1.64406891759,0.0,0.0,0.0
966,1.0,1.0,1.0,2,1,7.62317637952,3.51164175813,10.0,9.0,9.0
12068,1.0,1.0,1.0,2,1,1.54153544522,1.80190333558,0.0,0.0,0.0
12393,1.0,1.0,1.0,2,1,2.20356116942,2.29227662257,10.0,9.0,9.0
10291,1.0,1.0,2.0,4,1,2.72481531715,1.22009725444,0.0,0.0,0.0
3462,1.0,2.0,4.0,4,1,3.17298393214,2.24070529516,8.0,8.0,8.0
2460,1.0,1.0,1.0,2,1,1.06729631649,1.22538204467,9.0,10.0,10.0
