"","bedrooms","distance_to_dam","accommodates","review_scores_communication","review_scores_location","host_response_time","bathrooms","beds","reviews_per_month","review_scores_value"
"12531",1,1.4535046322,2,10,9,4,1,1,1.06,9
"12532",1,2.6617112899,3,9,9,1,1,4,5.32,9
"12533",1,2.68875145362,2,10,10,4,2,1,0.16,10
"12534",1,2.71098680001,2,10,8,1,1,1,0.71,9
"12535",1,2.29010652693,2,10,8,4,1,1,0.13,9
"12536",1,3.1746182565,2,10,8,2,1,1,0.05,10
"12537",1,2.92046985877,2,9,9,3,1,1,0.63,9
"12538",1,2.79255600173,2,10,9,2,1,1,0.21,9
"12539",0,3.31448928079,2,0,0,4,1,1,0,0
"12540",2,2.9369628554,2,10,7,3,1,1,0.62,9
"12541",2,3.68234653201,3,0,0,4,1,2,0,0
"12542",1,2.67156160142,2,10,9,3,1,1,0.42,9
"12543",1,3.15480679867,2,10,8,3,1,1,0.35,9
"12544",1,2.72681768997,2,10,10,2,1,1,1.53,10
"12545",1,2.8816501117,2,10,10,4,1,1,1,10
"12546",2,2.30677879311,4,10,9,3,1,2,2.07,9
"12547",2,2.55537827554,9,10,8,1,1,8,1.06,9
"12548",1,3.67726156828,2,10,9,1,1,1,2.17,9
"12549",1,3.18324315858,2,9,9,2,1.5,1,4.51,9
"12550",1,3.169921599,3,10,9,2,1,1,8.13,9
"12551",0,3.34963981339,3,10,10,1,1,2,0.58,10
"12552",1,3.18048389415,2,10,9,2,1,1,2.66,9
"12553",1,3.22581773949,2,9,8,1,1.5,1,1.15,9
"12554",1,3.06702602646,1,0,0,4,0.5,1,0,0
"12555",1,3.76128184108,2,9,8,1,1,1,2.97,9
"12556",1,3.5245312733,2,0,0,4,2,1,0,0
"12557",1,3.0433782909,2,10,9,3,1,1,1.3,9
"12558",3,3.72502236806,4,10,9,4,1,4,0.72,9
"12559",4,3.6904954618,6,9,8,3,1,4,0.26,9
"12560",1,3.19747110221,2,0,0,1,1,1,0,0
"12561",2,3.14583313086,4,10,9,1,1,2,0.98,9
"12562",1,3.32549319309,3,10,9,1,1,2,1.31,9
"12563",3,3.30942214101,4,0,0,1,1.5,4,0,0
"12564",2,3.37199490758,4,9,9,3,1,2,3.71,9
"12565",2,3.13412474447,3,10,9,2,1,1,1.55,10
"12566",1,3.18936616773,4,10,9,2,1,2,0.66,9
"12567",1,2.6031804441,4,10,10,3,1.5,2,1,10
"12568",2,2.97926748403,4,0,0,4,2,2,0,0
"12569",1,3.7537271753,1,4,7,2,1,3,1.07,5
"12570",2,3.01995414342,4,10,9,1,1,3,1.2,9
"12571",0,3.29452053252,2,10,8,3,1,1,0.53,10
"12572",1,2.75322993006,3,9,9,1,1,2,0.49,9
"12573",1,2.46880140339,2,10,10,2,1,1,0.44,10
"12574",1,2.52594445384,2,10,8,2,1,1,0.37,9
"12575",1,2.85777476159,2,10,8,1,1,2,0.59,8
"12576",3,3.3234677711,6,10,10,3,2.5,3,0.17,9
"12577",1,2.91074990175,4,8,8,4,1,2,0.11,8
"12578",1,2.35335151971,2,10,9,3,1,1,1.21,9
"12579",1,2.22395378811,2,0,0,2,1,1,0,0
