"","bedrooms","distance_to_dam","accommodates","review_scores_communication","review_scores_location","host_response_time","bathrooms","beds","reviews_per_month","review_scores_value"
"7712",3,2.44484111439,4,10,10,1,2,2,0.33,10
"7713",2,3.40169474595,4,10,8,3,1,2,1.55,8
"7714",1,3.51930230707,2,10,9,4,1,2,0.13,9
"7715",0,1.79988868463,2,10,10,1,1,1,2.38,10
"7716",2,1.78840630899,4,10,10,2,1,3,0.26,10
"7717",2,2.71315760058,4,10,8,1,1.5,2,0.3,9
"7718",1,1.81487297354,2,0,0,1,1,1,0,0
"7719",1,3.28555976866,2,9,10,2,1,1,0.72,9
"7720",1,1.81169526189,4,0,0,4,1.5,2,0,0
"7721",1,2.36278401165,2,0,0,4,1,2,0,0
"7722",1,3.18695216321,2,10,10,2,1.5,1,0.26,9
"7723",1,2.63276424983,2,0,0,4,1,1,0,0
"7724",2,3.50541768844,2,0,0,4,1,2,0,0
"7725",3,2.48705252013,3,10,9,3,1,3,0.75,9
"7726",2,2.43937305919,4,9,9,3,1,1,0.47,9
"7727",1,2.42371844554,2,0,0,4,1,1,0,0
"7728",1,1.92727189067,4,9,9,2,1,3,1.51,9
"7729",3,2.49887005897,6,10,9,4,1,4,0.16,9
"7730",3,3.66885733819,4,0,0,3,1.5,3,0,0
"7731",2,2.4083810597,4,0,0,1,1.5,2,0,0
"7732",1,1.76567851484,2,10,10,2,1,1,0.6,9
"7733",3,2.55668955543,6,9,8,3,1.5,4,0.13,9
"7734",2,2.57149481716,4,10,9,1,1,2,0.6,8
"7735",1,3.31794316831,2,10,10,2,1,1,1.55,10
"7736",1,3.32975153587,2,9,9,2,1.5,1,1.02,9
"7737",2,1.99360920748,4,9,9,1,1,2,1.48,7
"7738",2,3.21849337461,4,0,0,4,1,4,0,0
"7739",1,2.44494583846,2,9,10,1,1,1,0.31,9
"7740",2,3.69681596486,4,10,9,2,1,3,0.33,9
"7741",1,2.67018045662,2,10,9,2,1,1,1.19,10
"7742",2,2.26192030213,4,9,10,1,1.5,2,0.92,9
"7743",1,3.03642598973,2,10,9,3,1,1,0.13,10
"7744",1,2.12218179914,2,10,10,4,1,1,0.17,10
"7745",0,1.88508233234,2,10,10,2,1,1,1,10
"7746",1,3.29931862275,1,0,0,4,2,1,0,0
"7747",1,1.98578773788,2,9,10,1,1,1,0.19,7
"7748",2,2.50280633476,5,10,9,3,1,5,0.61,9
"7749",2,3.08840484724,5,9,9,2,1.5,3,0.66,8
"7750",1,2.25129054019,2,9,9,1,1.5,1,0.82,9
"7751",2,2.22091957747,2,10,10,3,1,2,1.01,9
"7752",1,3.67038102488,3,10,9,1,1,2,0.43,10
"7753",1,3.63004146137,1,10,9,1,1,1,6.34,9
"7754",1,2.26912390955,2,10,9,1,1,1,4.79,9
"7755",1,2.28030464352,2,10,10,1,1,1,0.07,0
"7756",2,1.81759506243,5,10,10,1,1.5,3,4,10
"7757",1,2.22753562375,4,0,0,2,1.5,2,0,0
"7758",1,2.02804079696,3,10,10,2,1,1,0.85,10
"7759",2,2.1795334462,4,9,8,2,1,2,0.18,8
"7760",1,2.8857937904,2,10,10,4,1,1,0.29,9
"7761",1,1.77010959427,2,10,10,2,1,1,0.32,9
"7762",4,2.49581962478,5,8,10,1,1,4,1,8
"7763",2,3.4950692812,4,0,0,4,1,4,0,0
"7764",1,3.08893555492,2,10,10,2,1,1,1.01,10
"7765",1,2.05089565342,2,0,0,4,1,1,0,0
"7766",1,2.0606932595,4,10,9,1,1,2,5.71,9
"7767",2,1.96658363226,4,10,9,2,1,2,2.31,9
"7768",3,2.96983467693,4,10,10,3,2,4,0.09,10
"7769",1,1.98282793172,2,9,10,1,1,1,1.22,9
"7770",1,2.06387988374,1,9,10,1,1,1,0.33,10
"7771",0,2.011832587,2,9,10,2,1,1,0.95,9
"7772",1,2.87954815476,1,8,8,1,1,1,0.8,8
"7773",1,3.84048444024,1,10,9,3,1,2,0.43,9
"7774",1,2.31954153666,2,10,10,3,1,1,1.15,10
"7775",1,3.31549652217,2,0,0,2,1,1,0,0
"7776",1,2.61838618026,2,0,0,4,1,1,0,0
"7777",1,1.66653397398,4,10,10,1,1,2,4.04,10
"7778",1,1.84858304835,3,10,9,1,1,1,0.56,8
"7779",2,2.98887642517,4,10,9,3,1.5,4,0.52,9
"7780",0,2.12500622919,4,10,10,1,1,2,1.73,9
"7781",2,1.82426103765,4,10,10,2,1,2,1,10
"7782",1,2.94318245911,1,10,10,1,1,1,1,10
"7783",1,1.98101477636,4,10,10,3,1,2,1,6
"7784",1,2.0509524578,2,10,10,4,1,1,0.75,9
"7785",2,2.00724189033,4,9,10,1,1.5,3,3.83,9
"7786",0,3.10359770495,4,4,7,3,1.5,4,0.71,6
"7787",2,2.50534269927,4,10,8,4,1,2,0.16,6
"7788",1,2.34035228408,4,10,9,2,1,2,3,10
"7789",1,2.25175408001,4,0,0,4,1,2,0,0
"7790",1,1.83744952457,4,10,10,3,1,2,1.87,9
"7791",2,3.40625722432,4,10,10,1,1,2,1.2,10
"7792",1,2.36209537262,2,10,10,4,1,1,0.14,10
"7793",3,2.1553579831,6,10,10,2,1,6,1.09,9
"7794",1,1.93782856878,2,10,10,3,1,1,3,9
"7795",2,1.90438926688,4,9,9,2,1,1,1.96,9
"7796",1,3.72836672091,2,10,10,3,1,1,0.24,10
"7797",1,2.30095142799,4,9,9,3,1,2,0.81,10
"7798",2,2.04281218336,4,10,10,1,1.5,6,7.28,10
"7799",1,3.9165658184,2,10,10,3,1,1,1.33,10
"7800",2,3.05426087968,4,10,9,1,1,2,0.95,9
"7801",1,1.88851203533,4,10,10,2,1,2,0.15,9
"7802",1,2.8048525344,2,0,0,4,1,1,0,0
"7803",0,1.84108008397,2,10,10,3,1,1,3,10
"7804",1,2.52760401348,2,10,9,1,1,1,0.31,9
"7805",1,1.89383912085,2,10,10,1,1,1,1,8
"7806",1,2.2857666472,2,10,10,1,1,1,7.3,9
"7807",2,1.76755520682,4,10,10,2,1,2,3.12,9
"7808",1,2.68441858513,2,0,0,4,1,1,0,0
"7809",2,1.8637093743,2,0,0,2,2,1,0,0
"7810",1,2.95658867447,2,9,9,1,1,1,5.63,8
"7811",2,1.76056570137,4,9,10,1,1,2,2.66,8
"7812",2,2.92734059661,4,10,9,4,1,2,0.39,10
"7813",1,1.85668893041,2,0,0,1,1,1,0,0
"7814",1,2.45813975278,2,10,9,1,1,1,0.27,9
"7815",1,2.60809407129,2,10,9,1,1,1,0.61,9
"7816",3,1.87343495394,2,10,9,4,1,1,0.45,9
"7817",4,1.94051926525,8,10,9,3,2.5,4,2.6,9
"7818",1,2.05877431359,2,0,0,4,1,1,1,0
"7819",3,2.64415233869,5,10,9,3,1,3,0.9,9
"7820",2,3.71910501636,4,10,8,1,1,2,0.07,10
"7821",1,3.16654979466,2,10,9,3,1,1,0.79,9
"7822",1,2.39727799345,2,10,9,4,1,1,1.09,9
"7823",2,3.15385287815,3,10,9,2,1.5,2,0.55,9
"7824",1,1.7666195619,2,10,10,1,1,1,1,10
"7825",0,3.38444080063,2,9,9,2,1,1,6.68,9
"7826",1,2.43506413117,4,10,10,1,1,2,2.89,9
"7827",1,3.51462194014,2,10,9,2,1,1,0.74,9
"7828",3,3.7092465446,4,9,9,2,1,2,2,9
"7829",1,2.01510313819,2,10,10,1,1,1,1,10
"7830",1,2.1889357499,3,10,10,1,1,1,1.34,8
"7831",1,2.12430505032,4,10,9,1,1,2,0.41,9
"7832",3,2.92490069141,4,10,10,1,1,3,0.31,10
"7833",1,3.22141404694,2,10,9,3,1,1,0.8,9
"7834",1,1.97788248472,2,10,10,3,1,1,0.79,10
"7835",1,2.37809754159,2,10,10,2,1,1,0.77,9
"7836",2,2.14903561703,4,10,10,2,1,4,0.2,9
"7837",1,2.02594573096,2,9,9,3,1,1,2.98,9
"7838",1,1.94688520412,2,10,10,3,1,1,0.99,8
"7839",1,1.90819106592,2,10,10,3,1,1,3.39,9
"7840",2,2.53436090913,4,10,10,2,1,2,0.33,9
"7841",1,2.41256490766,4,10,9,2,1,2,0.44,9
"7842",3,2.36511957923,5,10,10,3,1,4,2.25,10
"7843",2,2.20257245487,4,10,10,2,1,2,1.73,10
"7844",2,1.61143458037,4,9,10,1,1.5,2,2.45,9
"7845",4,2.1690236331,5,10,8,3,1,5,0.21,10
"7846",2,2.68287874221,4,0,0,1,1.5,3,0,0
"7847",1,3.48782121488,2,9,10,3,1,1,0.39,9
"7848",2,1.88095800543,4,10,10,2,1.5,2,0.19,9
"7849",3,3.24073877025,4,10,9,1,1,3,0.52,9
"7850",1,2.04522341196,3,0,0,3,1,1,0,0
