bathrooms,accommodates,distance_to_dam,beds,reviews_per_month,bedrooms,review_scores_cleanliness,review_scores_checkin,guests_included,review_scores_communication
1.0,2,0.970103385255,2.0,0.78,1.0,8.0,9.0,1,9.0
1.0,2,0.668626697251,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,2,2.16925729283,1.0,3.53,1.0,9.0,10.0,1,10.0
1.0,2,3.20999403813,1.0,0.84,1.0,10.0,10.0,1,10.0
1.0,3,0.976844753223,2.0,0.0,2.0,0.0,0.0,1,0.0
1.0,2,2.59604576108,1.0,0.52,0.0,10.0,10.0,1,10.0
1.0,2,2.56172471257,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,2,4.41574902754,1.0,2.0,1.0,10.0,10.0,1,10.0
1.0,4,2.70286581373,2.0,0.0,2.0,0.0,0.0,2,0.0
1.0,2,1.08006532987,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,2,7.955738921,1.0,1.0,1.0,0.0,0.0,1,0.0
1.0,2,5.05421013691,1.0,3.0,1.0,10.0,10.0,0,10.0
1.0,2,3.72836672091,1.0,0.24,1.0,10.0,10.0,1,10.0
1.0,4,2.94215031883,2.0,2.83,2.0,9.0,10.0,1,10.0
1.0,2,2.96465122507,1.0,0.0,1.0,0.0,0.0,1,0.0
1.5,4,1.22156213572,2.0,1.53,1.0,9.0,9.0,1,9.0
1.5,2,3.82500678317,1.0,1.54,1.0,10.0,10.0,1,10.0
1.0,2,0.781460532858,1.0,1.56,1.0,10.0,10.0,1,10.0
1.0,4,1.9461159041,2.0,2.77,2.0,9.0,10.0,1,10.0
1.0,4,2.7891823517,2.0,0.34,1.0,10.0,10.0,1,10.0
2.0,2,0.916978922691,1.0,1.0,1.0,0.0,0.0,1,0.0
1.0,4,1.86227728683,2.0,1.45,1.0,10.0,10.0,2,10.0
